date,open_price,high_price,low_price,close_price,volume_price,adjclose_price
2018-08-27,16,16,14,14,14694900,13
2018-08-24,16,16,16,16,4525600,15
2018-08-23,16,17,16,16,3583500,15
2018-08-22,16,17,16,16,6605600,15
2018-08-21,16,16,15,16,5193200,15
2018-08-20,15,15,15,15,3606900,14
2018-08-17,15,15,14,15,1633300,14
2018-08-16,15,15,15,15,1719700,13
2018-08-15,15,15,15,15,2097600,14
2018-08-14,15,15,15,15,1953400,14
2018-08-13,15,15,15,15,2100900,13
2018-08-10,15,15,15,15,2416400,14
2018-08-09,15,15,14,15,2342700,13
2018-08-08,15,15,15,15,2178900,14
2018-08-07,14,15,14,15,1953400,13
2018-08-06,14,14,14,14,2075000,13
2018-08-03,14,14,14,14,2557200,13
2018-08-02,14,14,14,14,2529100,13
2018-08-01,14,14,14,14,2079700,13
2018-07-31,14,14,14,14,2757500,13
2018-07-30,14,14,14,14,1577800,13
2018-07-27,14,14,14,14,1414500,13
2018-07-26,14,15,14,14,1689200,13
2018-07-25,14,14,14,14,3345000,13
2018-07-24,14,14,14,14,1542600,13
2018-07-23,15,15,14,14,1833800,13
2018-07-20,14,15,14,15,2147900,13
2018-07-19,14,15,14,14,1728400,13
2018-07-18,14,14,14,14,2049700,13
2018-07-17,15,15,14,14,3045100,13
2018-07-16,15,15,15,15,1806500,13
2018-07-13,14,15,14,15,2332200,14
2018-07-12,14,15,14,15,1925900,13
2018-07-11,14,14,14,14,2287700,13
2018-07-10,15,15,14,14,2916700,13
2018-07-09,15,15,15,15,3919500,14
2018-07-06,14,15,14,15,4051100,13
2018-07-05,14,14,14,14,4721800,13
2018-07-03,14,14,14,14,1289300,12
2018-07-02,14,14,14,14,3723300,13
2018-06-29,14,15,14,14,3401100,13
2018-06-28,14,14,14,14,1905200,13
2018-06-27,15,15,14,14,2255700,13
2018-06-26,15,15,14,14,2697500,13
2018-06-25,15,15,14,15,2684700,13
2018-06-22,15,15,15,15,9577200,14
2018-06-21,15,15,15,15,3563100,14
2018-06-20,15,15,15,15,5164200,14
2018-06-19,15,15,15,15,10140600,14
2018-06-18,13,15,13,15,23788900,13
